concept:name,mean,max,count
1_WINDING WORK,220824.2748091603,13078740.0,786
2_WINDING WORK,149661.30982367758,7932600.0,794
CLAMP WORK,96808.04347826086,7596000.0,92
CORE WORK,16340.0,177840.0,93
DRY WORK,249948.27586206896,5025600.0,87
LEAD WORK,44112.13483146067,325800.0,89
OIL IMPREGNATION & VAC,81379.28571428571,2590200.0,84
PRESS DRY,6300.0,7200.0,2
QUALITY INSPECTION 1,40500.0,691200.0,23
QUALITY INSPECTION 2,447913.3333333333,2694000.0,9
TAKING & ASSEMBLY,89503.05882352941,2462400.0,85
TEST,19800.0,19800.0,1
